folder,model,reasoning,refl,schedule,g1_sev,n_post,targ,nonq4_raw,smooth_baseline_nonq4,spill,scarred,survival,total_decisions,defaulted_decisions,api_errors,api_error_rate
ablation_d_schedule_sonnet_adaptive_norefl_3strike_20260520_220136,claude-sonnet-4-6,adaptive,none,3strike,CAUGHT,8,0.875,2.125,1.8571,0.2679,1,79.55,69,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_3strike_20260520_222756,claude-sonnet-4-6,adaptive,none,3strike,CAUGHT,8,1.0,1.0,1.8571,-0.8571,1,84.09,60,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_3strike_20260531_000506,claude-sonnet-4-6,adaptive,none,3strike,CAUGHT,8,1.125,1.125,1.8571,-0.7321,1,86.36,59,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_3strike_20260531_002334,claude-sonnet-4-6,adaptive,none,3strike,CAUGHT,8,1.0,1.125,1.8571,-0.7321,1,81.82,61,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_3strike_20260531_004914,claude-sonnet-4-6,adaptive,none,3strike,CAUGHT,8,1.25,1.125,1.8571,-0.7321,1,81.82,65,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_3strike_20260531_011354,claude-sonnet-4-6,adaptive,none,3strike,MEMBER,8,1.125,1.125,1.8571,-0.7321,1,86.36,60,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_3strike_20260531_014133,claude-sonnet-4-6,adaptive,none,3strike,CATAS,8,1.0,1.0,1.8571,-0.8571,1,81.82,59,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_mid2strike_20260520_225655,claude-sonnet-4-6,adaptive,none,mid2strike,CAUGHT,6,1.0,1.1667,1.8571,-0.6904,1,79.55,67,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_mid2strike_20260520_232814,claude-sonnet-4-6,adaptive,none,mid2strike,CAUGHT,6,1.0,1.3333,1.8571,-0.5238,1,81.82,64,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_mid2strike_20260520_235555,claude-sonnet-4-6,adaptive,none,mid2strike,CAUGHT,6,1.5,0.0,1.8571,-1.8571,1,86.36,60,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_mid2strike_20260521_002502,claude-sonnet-4-6,adaptive,none,mid2strike,CAUGHT,6,1.0,1.1667,1.8571,-0.6904,1,81.82,66,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_mid2strike_20260521_004823,claude-sonnet-4-6,adaptive,none,mid2strike,CAUGHT,6,2.1667,0.0,1.8571,-1.8571,1,81.82,66,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_mid2strike_20260531_104026,claude-sonnet-4-6,adaptive,none,mid2strike,CAUGHT,6,1.3333,0.0,1.8571,-1.8571,1,81.82,66,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_mid2strike_20260531_110803,claude-sonnet-4-6,adaptive,none,mid2strike,CAUGHT,6,1.0,1.6667,1.8571,-0.1904,1,70.45,74,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_mid2strike_20260531_113714,claude-sonnet-4-6,adaptive,none,mid2strike,CAUGHT,6,1.1667,1.1667,1.8571,-0.6904,1,81.82,65,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_mid2strike_20260531_120032,claude-sonnet-4-6,adaptive,none,mid2strike,CAUGHT,6,1.1667,1.0,1.8571,-0.8571,1,81.82,66,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_mid2strike_20260531_122441,claude-sonnet-4-6,adaptive,none,mid2strike,CAUGHT,6,1.0,1.6667,1.8571,-0.1904,1,68.18,76,1,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_recur_20260521_115802,claude-sonnet-4-6,adaptive,none,recur,CAUGHT,6,0.0,2.0,1.8571,0.1429,0,84.09,59,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_recur_20260521_121340,claude-sonnet-4-6,adaptive,none,recur,CATAS,6,0.0,1.0,1.8571,-0.8571,0,84.09,58,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_recur_20260521_123624,claude-sonnet-4-6,adaptive,none,recur,CATAS,6,0.1667,2.3333,1.8571,0.4762,0,77.27,66,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_recur_20260521_130307,claude-sonnet-4-6,adaptive,none,recur,CAUGHT,6,1.1667,1.1667,1.8571,-0.6904,1,84.09,62,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_recur_20260521_132202,claude-sonnet-4-6,adaptive,none,recur,CATAS,6,0.0,2.0,1.8571,0.1429,0,81.82,56,0,0,0.0
ablation_d_schedule_sonnet_adaptive_norefl_recur_20260522_000413,claude-sonnet-4-6,adaptive,none,recur,CAUGHT,6,0.1667,2.3333,1.8571,0.4762,0,81.82,64,1,1,0.0156
ablation_d_schedule_sonnet_adaptive_norefl_recur_20260522_015049,claude-sonnet-4-6,adaptive,none,recur,CAUGHT,6,1.0,1.1667,1.8571,-0.6904,1,79.55,63,0,0,0.0
